01_Presence Condition,02_Total Lines in Code,03_Line Coverage Precentage
!YYSIZE_T,1,0.01
YYLEX_PARAM,1,0.01
!YYLEX_PARAM,1,0.01
!YYINITDEPTH,1,0.01
!YYMAXDEPTH,1,0.01
YYERROR_VERBOSE && !yystrlen && __GLIBC__ && _STRING_H,1,0.01
((YYERROR_VERBOSE && !yystrlen && !(__GLIBC__ && _STRING_H)) && __STDC__) || __cplusplus,1,0.01
(YYERROR_VERBOSE && !yystrlen && !(__GLIBC__ && _STRING_H)) && !(__STDC__ || __cplusplus),1,0.01
YYERROR_VERBOSE && !yystrlen && !(__GLIBC__ && _STRING_H) && !(__STDC__ || __cplusplus),1,0.01
YYERROR_VERBOSE && !yystpcpy && __GLIBC__ && _STRING_H && _GNU_SOURCE,1,0.01
((YYERROR_VERBOSE && !yystpcpy && !(__GLIBC__ && _STRING_H && _GNU_SOURCE)) && __STDC__) || __cplusplus,1,0.01
(YYERROR_VERBOSE && !yystpcpy && !(__GLIBC__ && _STRING_H && _GNU_SOURCE)) && !(__STDC__ || __cplusplus),1,0.01
YYDEBUG && YYPRINT,1,0.01
!yyoverflow && !YYSTACK_RELOCATE,1,0.01
